task,algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
tour_new4,h0,74501,0,0,0,0,0,0,0,,
rgv_new1,refit32,74504,19248,2063,12,709,0,0,0,6.256588072122053,8.0
tour_new3,refit32,74508,18638,1238,23,732,0,0,0,4.074172185430464,8.0
tour_new4,h0,74506,0,0,0,0,0,0,0,,
job_new4,local24,74502,14969,1199,33,730,35,728,25560,9.866317169069463,25.0
rgv_new4,refit32,74509,18873,2049,27,733,0,0,0,5.423684210526316,8.0
rgv_new4,h0,74508,0,0,0,0,0,0,0,,
job_new1,fast_h0,74505,10647,1183,23,745,0,0,0,4.153645833333333,8.0
tour_new4,local24,74506,15648,1409,32,747,39,740,27230,10.804878048780488,25.0
tour_new1,h0,74508,0,0,0,0,0,0,0,,
job_new3,h0,74510,0,0,0,0,0,0,0,,
job_new4,h0,74508,0,0,0,0,0,0,0,,
tour_new4,fast_h0,74507,10617,1331,29,740,0,0,0,4.301690507152146,8.0
rgv_new4,fast_h0,74511,10738,1819,16,755,0,0,0,5.08041504539559,8.0
job_new1,fast_h0,74511,10580,1178,17,751,0,0,0,4.059895833333333,8.0
job_new1,local24,74506,14565,1133,26,734,28,732,26003,9.286842105263158,25.0
rgv_new1,local24,74503,17935,2092,8,742,48,702,39248,15.182666666666666,25.0
job_new1,fast_h0,74507,10529,1212,36,715,0,0,0,4.129161118508655,8.0
rgv_new1,h0,74503,0,0,0,0,0,0,0,,
tour_new4,fast_h0,74506,10941,1433,34,742,0,0,0,4.811855670103093,8.0
tour_new2,refit32,74502,19024,1411,40,730,0,0,0,4.720779220779221,8.0
rgv_new4,h0,74512,0,0,0,0,0,0,0,,
job_new2,fast_h0,74508,11301,1674,43,731,0,0,0,5.60077519379845,8.0
tour_new3,h0,74505,0,0,0,0,0,0,0,,
tour_new2,local24,74509,16401,1238,24,758,25,757,34489,11.507672634271099,25.0
job_new2,refit32,74511,19516,1604,61,694,0,0,0,5.7218543046357615,8.0
tour_new2,fast_h0,74506,10895,1384,36,714,0,0,0,4.852,8.0
job_new4,refit32,74507,18845,1383,25,740,0,0,0,4.481045751633987,8.0
tour_new3,local24,74508,14655,1215,28,750,27,751,29134,9.29305912596401,25.0
rgv_new1,fast_h0,74507,11345,2445,13,774,0,0,0,6.543837357052096,8.0
rgv_new2,fast_h0,74504,10273,2000,16,748,0,0,0,4.755235602094241,8.0
tour_new4,fast_h0,74503,11145,1621,43,736,0,0,0,5.296534017971759,8.0
job_new2,local24,74507,18394,1379,35,745,37,743,31774,14.273076923076923,25.0
rgv_new1,fast_h0,74511,11163,2247,11,770,0,0,0,6.1075544174135725,8.0
tour_new1,fast_h0,74502,11476,1555,32,730,0,0,0,5.76246719160105,8.0
job_new4,local24,74505,16142,1450,41,734,42,733,26631,11.550967741935484,25.0
job_new1,fast_h0,74503,10712,1251,32,734,0,0,0,4.338120104438643,8.0
rgv_new3,fast_h0,74508,10383,2079,14,761,0,0,0,4.9316129032258065,8.0
job_new2,refit32,74504,19541,1445,34,725,0,0,0,5.515151515151516,8.0
tour_new2,refit32,74501,19010,1226,25,769,0,0,0,4.327455919395466,8.0
job_new4,h0,74511,0,0,0,0,0,0,0,,
job_new4,h0,74501,0,0,0,0,0,0,0,,
tour_new3,refit32,74505,18686,1324,32,736,0,0,0,4.1796875,8.0
job_new2,refit32,74505,19523,1923,63,702,0,0,0,6.073202614379085,8.0
tour_new1,refit32,74501,19405,1582,35,713,0,0,0,5.597593582887701,8.0
rgv_new1,refit32,74502,19326,2407,11,773,0,0,0,6.292091836734694,8.0
rgv_new2,fast_h0,74506,10455,1720,16,730,0,0,0,4.738605898123325,8.0
job_new4,refit32,74502,18728,1168,29,719,0,0,0,4.13903743315508,8.0
tour_new1,local24,74505,17581,1625,50,704,51,703,30530,14.013262599469495,25.0
job_new2,fast_h0,74509,11280,1663,53,711,0,0,0,5.632198952879581,8.0
rgv_new4,fast_h0,74508,10717,2044,27,749,0,0,0,5.310567010309279,8.0
tour_new3,fast_h0,74507,10310,1208,25,736,0,0,0,3.7818659658344282,8.0
rgv_new1,h0,74512,0,0,0,0,0,0,0,,
tour_new3,h0,74510,0,0,0,0,0,0,0,,
rgv_new4,fast_h0,74502,11008,1875,23,757,0,0,0,5.43974358974359,8.0
tour_new2,h0,74501,0,0,0,0,0,0,0,,
tour_new1,fast_h0,74506,11468,1566,35,746,0,0,0,5.626120358514725,8.0
job_new1,local24,74503,14395,1218,31,730,35,726,24900,9.16294349540079,25.0
rgv_new1,fast_h0,74502,11105,2153,11,776,0,0,0,5.867852604828463,8.0
job_new4,local24,74512,16128,1467,38,712,42,708,26844,11.94,25.0
job_new3,refit32,74511,18880,1433,38,736,0,0,0,4.538759689922481,8.0
tour_new4,h0,74512,0,0,0,0,0,0,0,,
tour_new3,fast_h0,74509,10384,1241,23,745,0,0,0,3.88671875,8.0
job_new3,local24,74507,16002,1524,36,745,39,742,29832,11.377720870678617,25.0
job_new1,h0,74506,0,0,0,0,0,0,0,,
job_new2,h0,74512,0,0,0,0,0,0,0,,
tour_new2,refit32,74505,19327,1255,17,757,0,0,0,4.886304909560724,8.0
rgv_new1,refit32,74503,19527,2297,8,762,0,0,0,6.524675324675325,8.0
tour_new4,local24,74510,15636,1355,35,709,37,707,26137,11.224462365591398,25.0
job_new4,fast_h0,74504,10987,1360,34,736,0,0,0,4.814285714285714,8.0
tour_new1,local24,74510,17376,1484,45,705,44,706,29155,13.626666666666667,25.0
job_new1,local24,74508,14145,1040,24,713,24,713,24680,8.880597014925373,25.0
rgv_new2,local24,74512,14062,2568,12,742,59,695,31374,10.596816976127322,25.0
